chaveTituloAno	ano	autor	instituicao	cidade	cidadeReconciliada	latitude	longitude	estado	pais
adieas2017	2017	Márcio Matias	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
rdiptw2017	2017	Eduardo Alves Silva	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
rdiptw2017	2017	Márcio Matias	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
osdddm2021	2021	Manoel Camilo de Sousa Netto	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
osdddm2021	2021	Adilson Luiz Pinto	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
tadrdi2021	2021	Roberto Zaina	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
tadrdi2021	2021	Vinicius Faria Culmant Ramos	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
tadrdi2021	2021	Gustavo Medeiros de Araujo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
ceiddc2021	2021	Patrícia Mascarenhas Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ceiddc2021	2021	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ceiddc2021	2021	Gray Farias Moita	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
tdeagd2021	2021	Eduardo Alves Silva	Universidade de Coimbra	Coimbra	Coimbra	-20.856944444444	-42.802777777778		Portugal
ddfacf2021	2021	Higor Alexandre Duarte Mascarenhas	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ddfacf2021	2021	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
eddema2021	2021	Eduardo Diniz Amaral	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
eddema2021	2021	Gustavo Medeiros de Araujo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
uppaie2021	2021	Fernanda Silva Coimbra	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
uppaie2021	2021	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
pdpddo2021	2021	Rosilene Paiva Marinho de Sousa	UFOB	Barreiras	Barreiras	-12.152777777778	-44.99	BA	Brasil
pdpddo2021	2021	Milton Shintaku	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
adfqid2021	2021	Leonardo Santos Amaral	UNIMONTES	Montes Claros	Montes Claros	-16.732222222222	-43.863611111111	MG	Brasil
adfqid2021	2021	Gustavo Medeiros de Araujo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
adfqid2021	2021	Ricardo Alexandre Reinaldo de Moraes	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
ccretd2021	2021	Eduardo Santos Rocha	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ccretd2021	2021	Ronaldo Ferreira de Araújo	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
gddcpe2021	2021	Marília Catarina Andrade Gontijo	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
gddcpe2021	2021	Raíssa Yuri Hamanaka	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
gddcpe2021	2021	Ronaldo Ferreira de Araújo	UFAL	Maceió	Maceió	-9.6658333333333	-35.735	AL	Brasil
radadc2021	2021	Keli Rodrigues do Amaral Benin	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
radadc2021	2021	Raíssa Yuri Hamanaka	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
